Deadline,Task,Description
2/22/2019,[Pick Data that you will be using](#pick-a-paper-or-data-that-you-will-be-using),Choose a partner and submit a document on canvas with  3 potential papers to replicate
3/8/2019,[Get your plan approved](#get-data-and-have-plan-approved),We will ask you to verify that you have the data by this point. It may not be easy to gather the data
4/3/2019,First Steps,Replication Project including: 
,,"		RMarkdown  file of characteristic tables and figures"
,,"		Data which you are using"
,,"		PDF of original Paper"
,,"		You will need to give the 2 other groups whose projects you were assigned to a zipped copy of this. "
4/10/2019,Peer Review 1,Each group will be peer reviewing 2 others. E-mail zipped folder to that team and the teaching staff including: 
,,"		All of the original files"
,,"		""Files with comments on the replication status"
4/17/2019,2nd Steps,Create an outline of how you plan to extend the work in the paper as well as finish up replicating parts you were unable to previously. 
,,"		Outline the tables and figures you wish to include into your proposal. "
,,"		Submit a zipped folder to peer review groups and teaching staff including:"
,,"		Rmarkdown file with tables and figures including outline and description of new tables and figures. "
,,"		All of the previous files as well. "
4/24/2019,Peer Review 2,Each group will be peer reviewing 2 others. E-mail zipped folder to that team and the teaching staff including: 
,,"		All of the original files"
,,"""Files with comments on the replication status"
5/1/2019,Final Steps,Complete the rest of your coding as well as your additional models. 
,,"		Submit a zipped folder to peer review groups and teaching staff including:"
,,"		Rmarkdown file with tables and figures. "
,,"		All of the previous files as well. "
5/8/2019,Rough Draft,Send your Rough draft to the peer review groups. 
,,[Paper Description](../Project/paper_description)
5/10/2019,Final Peer Review Due,
5/11/2019,Final Paper Due,Final Review of the Papers
,,"		Be sure to comment on changes made from past iterations."
,,"		Comment on completeness and quality. "
