"PLOT" "SUBPLT" "SPECIES" "IND" "SURV" "GERM" "ESTAB" "LIGHT" "LITTER" "CAGE" "GAP"
1 "2" "Ardisia" 1 0 0 0 10000 "4" 0 0
1 "2" "Ardisia" 2 0 0 0 10000 "4" 0 0
1 "2" "Ardisia" 3 0 0 0 10000 "4" 0 0
1 "2" "Ardisia" 4 0 0 0 10000 "4" 0 0
1 "2" "Ardisia" 5 0 0 0 10000 "4" 0 0
1 "2" "Ardisia" 6 0 0 0 10000 "4" 0 0
1 "2" "C. biflora" 1 1 1 1 10000 "4" 0 0
1 "2" "C. biflora" 2 0 0 0 10000 "4" 0 0
1 "2" "C. biflora" 3 0 0 0 10000 "4" 0 0
1 "2" "C. biflora" 4 0 0 0 10000 "4" 0 0
1 "2" "C. biflora" 5 0 0 0 10000 "4" 0 0
1 "2" "C. biflora" 6 0 0 0 10000 "4" 0 0
1 "2" "Gouania" 1 0 0 0 10000 "4" 0 0
1 "2" "Gouania" 2 0 0 0 10000 "4" 0 0
1 "2" "Gouania" 3 0 0 0 10000 "4" 0 0
1 "2" "Gouania" 4 0 0 0 10000 "4" 0 0
1 "2" "Gouania" 5 0 0 0 10000 "4" 0 0
1 "2" "Gouania" 6 0 0 0 10000 "4" 0 0
1 "2" "Hirtella" 1 1 1 1 10000 "4" 0 0
1 "2" "Hirtella" 4 1 0 1 10000 "4" 0 0
1 "2" "Hirtella" 3 1 0 1 10000 "4" 0 0
1 "2" "Hirtella" 2 1 0 1 10000 "4" 0 0
1 "2" "Hirtella" 5 0 0 0 10000 "4" 0 0
1 "2" "Hirtella" 6 0 0 0 10000 "4" 0 0
1 "2" "Inga" 1 1 0 1 10000 "4" 0 0
1 "2" "Inga" 2 0 0 0 10000 "4" 0 0
1 "2" "Inga" 3 0 0 0 10000 "4" 0 0
1 "2" "Inga" 4 0 0 0 10000 "4" 0 0
1 "2" "Inga" 5 0 0 0 10000 "4" 0 0
1 "2" "Inga" 6 0 0 0 10000 "4" 0 0
1 "2" "Maclura" 1 0 0 0 10000 "4" 0 0
1 "2" "Maclura" 2 0 0 0 10000 "4" 0 0
1 "2" "Maclura" 3 0 0 0 10000 "4" 0 0
1 "2" "Maclura" 4 0 0 0 10000 "4" 0 0
1 "2" "Maclura" 5 0 0 0 10000 "4" 0 0
1 "2" "Maclura" 6 0 0 0 10000 "4" 0 0
1 "2" "C. racemosa" 1 1 1 1 10000 "4" 0 0
1 "2" "C. racemosa" 2 1 1 0 10000 "4" 0 0
1 "2" "C. racemosa" 5 1 1 1 10000 "4" 0 0
1 "2" "C. racemosa" 3 1 1 1 10000 "4" 0 0
1 "2" "C. racemosa" 4 1 1 1 10000 "4" 0 0
1 "2" "C. racemosa" 6 0 0 0 10000 "4" 0 0
1 "2" "Strychnos" 1 0 0 0 10000 "4" 0 0
1 "2" "Strychnos" 2 0 0 0 10000 "4" 0 0
1 "2" "Strychnos" 3 0 0 0 10000 "4" 0 0
1 "2" "Strychnos" 4 0 0 0 10000 "4" 0 0
1 "2" "Strychnos" 5 0 0 0 10000 "4" 0 0
1 "2" "Strychnos" 6 0 0 0 10000 "4" 0 0
1 "4" "Ardisia" 2 1 1 1 7943 "2" 0 0
1 "4" "Ardisia" 1 1 1 1 7943 "2" 0 0
1 "4" "Ardisia" 3 0 0 0 7943 "2" 0 0
1 "4" "Ardisia" 4 0 0 0 7943 "2" 0 0
1 "4" "Ardisia" 5 0 0 0 7943 "2" 0 0
1 "4" "Ardisia" 6 0 0 0 7943 "2" 0 0
1 "4" "C. biflora" 4 1 1 1 7943 "2" 0 0
1 "4" "C. biflora" 3 1 1 1 7943 "2" 0 0
1 "4" "C. biflora" 2 1 1 1 7943 "2" 0 0
1 "4" "C. biflora" 1 1 1 1 7943 "2" 0 0
1 "4" "C. biflora" 5 0 0 0 7943 "2" 0 0
1 "4" "C. biflora" 6 0 0 0 7943 "2" 0 0
1 "4" "Gouania" 1 0 0 0 7943 "2" 0 0
1 "4" "Gouania" 2 0 0 0 7943 "2" 0 0
1 "4" "Gouania" 3 0 0 0 7943 "2" 0 0
1 "4" "Gouania" 4 0 0 0 7943 "2" 0 0
1 "4" "Gouania" 5 0 0 0 7943 "2" 0 0
1 "4" "Gouania" 6 0 0 0 7943 "2" 0 0
1 "4" "Hirtella" 5 1 1 1 7943 "2" 0 0
1 "4" "Hirtella" 2 1 1 1 7943 "2" 0 0
1 "4" "Hirtella" 3 1 1 1 7943 "2" 0 0
1 "4" "Hirtella" 4 1 1 1 7943 "2" 0 0
1 "4" "Hirtella" 1 1 0 1 7943 "2" 0 0
1 "4" "Hirtella" 6 1 0 1 7943 "2" 0 0
1 "4" "Inga" 3 1 1 0 7943 "2" 0 0
1 "4" "Inga" 1 1 1 1 7943 "2" 0 0
1 "4" "Inga" 2 1 1 1 7943 "2" 0 0
1 "4" "Inga" 4 1 1 0 7943 "2" 0 0
1 "4" "Inga" 5 0 0 0 7943 "2" 0 0
1 "4" "Inga" 6 0 0 0 7943 "2" 0 0
1 "4" "Maclura" 1 0 0 0 7943 "2" 0 0
1 "4" "Maclura" 2 0 0 0 7943 "2" 0 0
1 "4" "Maclura" 3 0 0 0 7943 "2" 0 0
1 "4" "Maclura" 4 0 0 0 7943 "2" 0 0
1 "4" "Maclura" 5 0 0 0 7943 "2" 0 0
1 "4" "Maclura" 6 0 0 0 7943 "2" 0 0
1 "4" "C. racemosa" 2 1 1 1 7943 "2" 0 0
1 "4" "C. racemosa" 3 1 1 1 7943 "2" 0 0
1 "4" "C. racemosa" 1 1 1 1 7943 "2" 0 0
1 "4" "C. racemosa" 5 1 1 1 7943 "2" 0 0
1 "4" "C. racemosa" 4 1 1 1 7943 "2" 0 0
1 "4" "C. racemosa" 6 0 0 0 7943 "2" 0 0
1 "4" "Strychnos" 1 0 0 0 7943 "2" 0 0
1 "4" "Strychnos" 2 0 0 0 7943 "2" 0 0
1 "4" "Strychnos" 3 0 0 0 7943 "2" 0 0
1 "4" "Strychnos" 4 0 0 0 7943 "2" 0 0
1 "4" "Strychnos" 5 0 0 0 7943 "2" 0 0
1 "4" "Strychnos" 6 0 0 0 7943 "2" 0 0
1 "5" "Ardisia" 1 1 1 1 6310 "0" 0 0
1 "5" "Ardisia" 2 1 1 0 6310 "0" 0 0
1 "5" "Ardisia" 3 1 1 0 6310 "0" 0 0
1 "5" "Ardisia" 4 0 0 0 6310 "0" 0 0
1 "5" "Ardisia" 5 0 0 0 6310 "0" 0 0
1 "5" "Ardisia" 6 0 0 0 6310 "0" 0 0
1 "5" "C. biflora" 3 1 1 1 6310 "0" 0 0
1 "5" "C. biflora" 2 1 1 1 6310 "0" 0 0
1 "5" "C. biflora" 1 1 1 1 6310 "0" 0 0
1 "5" "C. biflora" 4 0 0 0 6310 "0" 0 0
1 "5" "C. biflora" 5 0 0 0 6310 "0" 0 0
1 "5" "C. biflora" 6 0 0 0 6310 "0" 0 0
1 "5" "Gouania" 1 0 0 0 6310 "0" 0 0
1 "5" "Gouania" 2 0 0 0 6310 "0" 0 0
1 "5" "Gouania" 3 0 0 0 6310 "0" 0 0
1 "5" "Gouania" 4 0 0 0 6310 "0" 0 0
1 "5" "Gouania" 5 0 0 0 6310 "0" 0 0
1 "5" "Gouania" 6 0 0 0 6310 "0" 0 0
1 "5" "Hirtella" 1 1 1 1 6310 "0" 0 0
1 "5" "Hirtella" 2 0 0 0 6310 "0" 0 0
1 "5" "Hirtella" 3 0 0 0 6310 "0" 0 0
1 "5" "Hirtella" 4 0 0 0 6310 "0" 0 0
1 "5" "Hirtella" 5 0 0 0 6310 "0" 0 0
1 "5" "Hirtella" 6 0 0 0 6310 "0" 0 0
1 "5" "Inga" 1 0 0 0 6310 "0" 0 0
1 "5" "Inga" 2 0 0 0 6310 "0" 0 0
1 "5" "Inga" 3 0 0 0 6310 "0" 0 0
1 "5" "Inga" 4 0 0 0 6310 "0" 0 0
1 "5" "Inga" 5 0 0 0 6310 "0" 0 0
1 "5" "Inga" 6 0 0 0 6310 "0" 0 0
1 "5" "Maclura" 1 0 0 0 6310 "0" 0 0
1 "5" "Maclura" 2 0 0 0 6310 "0" 0 0
1 "5" "Maclura" 3 0 0 0 6310 "0" 0 0
1 "5" "Maclura" 4 0 0 0 6310 "0" 0 0
1 "5" "Maclura" 5 0 0 0 6310 "0" 0 0
1 "5" "Maclura" 6 0 0 0 6310 "0" 0 0
1 "5" "C. racemosa" 1 1 1 1 6310 "0" 0 0
1 "5" "C. racemosa" 2 1 1 1 6310 "0" 0 0
1 "5" "C. racemosa" 3 1 1 1 6310 "0" 0 0
1 "5" "C. racemosa" 4 0 0 0 6310 "0" 0 0
1 "5" "C. racemosa" 5 0 0 0 6310 "0" 0 0
1 "5" "C. racemosa" 6 0 0 0 6310 "0" 0 0
1 "5" "Strychnos" 1 0 0 0 6310 "0" 0 0
1 "5" "Strychnos" 2 0 0 0 6310 "0" 0 0
1 "5" "Strychnos" 3 0 0 0 6310 "0" 0 0
1 "5" "Strychnos" 4 0 0 0 6310 "0" 0 0
1 "5" "Strychnos" 5 0 0 0 6310 "0" 0 0
1 "5" "Strychnos" 6 0 0 0 6310 "0" 0 0
1 "7" "Ardisia" 3 1 1 1 10000 "1" 0 0
1 "7" "Ardisia" 1 1 1 0 10000 "1" 0 0
1 "7" "Ardisia" 2 1 1 1 10000 "1" 0 0
1 "7" "Ardisia" 4 0 0 0 10000 "1" 0 0
1 "7" "Ardisia" 5 0 0 0 10000 "1" 0 0
1 "7" "Ardisia" 6 0 0 0 10000 "1" 0 0
1 "7" "C. biflora" 1 1 1 1 10000 "1" 0 0
1 "7" "C. biflora" 2 1 1 1 10000 "1" 0 0
1 "7" "C. biflora" 3 0 0 0 10000 "1" 0 0
1 "7" "C. biflora" 4 0 0 0 10000 "1" 0 0
1 "7" "C. biflora" 5 0 0 0 10000 "1" 0 0
1 "7" "C. biflora" 6 0 0 0 10000 "1" 0 0
1 "7" "Gouania" 1 0 0 0 10000 "1" 0 0
1 "7" "Gouania" 2 0 0 0 10000 "1" 0 0
1 "7" "Gouania" 3 0 0 0 10000 "1" 0 0
1 "7" "Gouania" 4 0 0 0 10000 "1" 0 0
1 "7" "Gouania" 5 0 0 0 10000 "1" 0 0
1 "7" "Gouania" 6 0 0 0 10000 "1" 0 0
1 "7" "Hirtella" 5 1 1 1 10000 "1" 0 0
1 "7" "Hirtella" 1 1 1 1 10000 "1" 0 0
1 "7" "Hirtella" 3 1 1 1 10000 "1" 0 0
1 "7" "Hirtella" 2 1 0 1 10000 "1" 0 0
1 "7" "Hirtella" 4 1 0 1 10000 "1" 0 0
