MILTCOUP MILITARY POLLIB PARTY93 PCTVOTE PCTTURN SIZE POP NUMREGIM NUMELEC
5 7 1 34 45.68 86 113 4.6 3 8
6 13 2 62 17.5 40.3 274 8.8 3 5
2 13 2 10 34.39 95 28 5.3 3 3
0 0 2 34 30.3 90.1 475 11.6 3 14
1 0 2 5 30.46 68.87 4 0.361 1 2
3 14 2 14 16.2 50 623 3 4 6
1 15 2 27 44.16 95 1284 5.5 3 4
2 0 2 4 52 65 2 0.458 2 6
3 2 2 27 40.8 89.6 342 2.2 4 10
0 0 2 37 12.18 30 322 11.7 2 12
0 0 1 2 24.18 89 23 0.411 2 4
1 10 2 17 28.95 85.4 1222 49.5 3 6
1 0 2 15 77.4 95.44 268 1.1 2 12
5 17 1 22 16.86 35.25 239 14.4 3 6
1 6 2 19 53.76 95.69 246 5.6 3 9
1 0 2 12 11.66 50 36 0.96 1 0
0 0 2 13 10.04 40.7 580 23.5 3 6
1 4 1 10 0 0 30 1.7 4 1
1 5 0 14 23.64 80 111 2.5 3 12
2 1 1 19 37.8 74.6 587 11.3 4 12
0 0 2 8 40.22 95 118 8.2 2 4
1 11 1 10 45.29 99 1240 8.2 3 7
0 0 2 11 26 80 824 1.7 1 1
1 15 2 12 44.86 95.09 1267 7.4 4 5
6 18 1 2 28.36 38.38 924 113.8 2 5
1 2 1 15 41.46 98.5 26 6.9 4 10
1 0 2 9 43.04 66 0.5 0.067 2 6
1 10 2 17 65 99.8 638 6.1 4 5
0 0 2 33 7.46 48 1221 35 1 8
5 7 0 16 18.9 66.05 2506 24.5 3 11
0 0 2 13 24.49 75 945 23.8 2 10
2 9 2 19 34.13 73.62 57 3.5 4 8
0 0 2 13 20.75 55 753 7.8 2 11
